fuel,factor,effect_column,level,effect_cent_l,provisional_effect_cent_l,raw_effect_cent_l,n_obs,n_stations,confidence,status,constraint_applied,shrinkage_stations,is_active,role
GAZOLE,code_departement,department_effect_cent_l,29,-1.2365013423555167,-1.2365013423555167,-1.5799739374542714,2771,144,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,30,-0.2445219656359085,-0.2445219656359085,-0.31291971826133747,2521,143,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,31,-0.28274550451005515,-0.28274550451005515,-0.3390132666016084,3732,201,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,32,0.41045281682424795,0.41045281682424795,0.7202285276350011,938,53,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,33,-0.6529138321038931,-0.6529138321038931,-0.7635771934774342,4244,236,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,34,0.17301065877699284,0.17301065877699284,0.2152083804299179,2936,164,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,35,-0.49182214517671785,-0.49182214517671785,-0.6229747172238427,2789,150,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,36,0.40700258753747415,0.40700258753747415,0.7326046575674535,856,50,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,37,-0.5570554617303264,-0.5570554617303264,-0.7941003390623802,1637,94,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,38,-0.3257916475204942,-0.3257916475204942,-0.39160814196907895,3435,198,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,39,-0.34994720641174726,-0.34994720641174726,-0.5090141184170869,1342,88,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,40,-0.10139301843644614,-0.10139301843644614,-0.1396545348275579,1861,106,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,41,0.3925343198118352,0.3925343198118352,0.634093901234503,1110,65,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,42,0.5917142052773147,0.5917142052773147,0.7723902984917619,2380,131,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,43,-0.654110256596433,-0.654110256596433,-1.1386363725937907,986,54,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,44,-1.277979368254433,-1.277979368254433,-1.5717677287726932,3256,174,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,45,-0.5678690080343349,-0.5678690080343349,-0.7688845860995863,2054,113,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,46,1.0252852920601956,1.0252852920601956,1.6562300871741622,1095,65,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,47,0.04963273649521844,0.04963273649521844,0.07271773021392469,1586,86,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,48,0.4707528372631206,0.4707528372631206,0.9662821396453528,673,38,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,49,-0.6014945205081997,-0.6014945205081997,-0.8284735848509166,2025,106,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,50,-0.0465132043949995,-0.0465132043949995,-0.06127930102833268,2251,126,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,51,-0.4957518949421994,-0.4957518949421994,-0.7112961970909817,1654,92,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,52,0.6468145240277912,0.6468145240277912,1.1172250869570939,886,55,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,53,-0.07188870864027636,-0.07188870864027636,-0.12513960392936996,1023,54,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,54,0.3168429980850486,0.3168429980850486,0.44358019731906806,1777,100,HIGH,ESTIMATED,NONE,40.0,True,ACTIVE
GAZOLE,code_departement,department_effect_cent_l,55,-0.29282556031948337,-0.29282556031948337,-0.601062992234729,715,38,MEDIUM,ESTIMATED,NONE,40.0,True,ACTIVE
