station_id,persistent_station_bias_raw_cent_l,persistent_bias_months,persistent_bias_observations,persistent_station_bias_cent_l,persistent_bias_confidence,persistence_status,fuel,ville,cp,code_departement,code_region
53150001,-1.4075766184493452,20,20,-1.0827512449610348,HIGH,NORMAL,SP95,Montsûrs,53150,53,52
53160002,0.49242338155064524,18,18,0.3693175361629839,HIGH,NORMAL,SP95,Bais,53160,53,52
53190001,-0.6575766184493613,19,19,-0.4997582300215146,HIGH,NORMAL,SP95,Fougerolles-du-Plessis,53190,53,52
53200003,7.428590969133809,20,20,5.714300745487545,HIGH,ELEVATED,SP95,Azé,53200,53,52
53200005,-2.4714090308661896,20,20,-1.901083869897069,HIGH,NORMAL,SP95,CHâTEAU-GONTIER,53203,53,52
53210001,0.24988449291037584,19,19,0.18991221461188565,HIGH,NORMAL,SP95,Argentré,53210,53,52
53230003,1.842423381550652,13,13,1.2606054715872883,MEDIUM,NORMAL,SP95,Cossé-le-Vivien,53230,53,52
53240001,1.0498844929103766,18,18,0.7874133696827824,HIGH,NORMAL,SP95,Andouillé,53240,53,52
53240002,5.14338977353584,5,5,2.3379044425162907,INSUFFICIENT,PROVISIONAL,SP95,ANDOUILLE,53240,53,52
53300003,2.4424233815506526,9,9,1.4654540289303917,LOW,PROVISIONAL,SP95,Ambrières-les-Vallées,53300,53,52
53320002,-0.25757661844933877,20,20,-0.19813586034564518,HIGH,NORMAL,SP95,LOIRON,53320,53,52
53370001,9.042423381550659,12,12,6.028282254367106,MEDIUM,ELEVATED,SP95,Saint-Pierre-des-Nids,53370,53,52
53410001,-1.0501155070896142,20,20,-0.8077811592997033,HIGH,NORMAL,SP95,LE BOURGNEUF-LA-FORêT,53410,53,52
53410004,2.0498844929103774,17,17,1.5151320164989748,MEDIUM,NORMAL,SP95,Saint-Pierre-la-Cour,53410,53,52
53480002,0.44242338155065075,20,20,0.3403256781158852,HIGH,NORMAL,SP95,Vaiges,53480,53,52
53500001,-1.8714090308661888,20,20,-1.4395454083586068,HIGH,NORMAL,SP95,ERNEE,53500,53,52
53500004,-1.4714090308661885,20,20,-1.1318531006662989,HIGH,NORMAL,SP95,ERNEE,53500,53,52
5350001,10.918610174992509,10,10,6.824131359370318,LOW,PROVISIONAL,SP95,Château-ville-vieille,05350,05,93
53600003,-5.871409030866192,2,2,-1.467852257716548,INSUFFICIENT,PROVISIONAL,SP95,ÉVRON,53600,53,52
53600007,-2.207576618449357,20,20,-1.6981358603456593,HIGH,NORMAL,SP95,Evron,53600,53,52
53700001,-0.30757661844934436,20,20,-0.23659739880718794,HIGH,NORMAL,SP95,Villaines-la-Juhel,53700,53,52
53810001,3.222555428414032,20,20,2.478888791087717,HIGH,NORMAL,SP95,Changé,53810,53,52
53950002,3.3646832973124345,18,18,2.523512472984326,HIGH,NORMAL,SP95,Louverne,53950,53,52
53960003,-1.4853167026875755,20,20,-1.1425513097596736,HIGH,NORMAL,SP95,BONCHAMP-LèS-LAVAL,53960,53,52
53970001,-2.3353167026875705,20,20,-1.7963974636058235,HIGH,NORMAL,SP95,L'HUISSERIE,53970,53,52
54000001,-7.010272727424421,1,1,-1.001467532489203,INSUFFICIENT,PROVISIONAL,SP95,Nancy,54000,54,44
54000010,9.317332485767079,12,12,6.211554990511385,MEDIUM,ELEVATED,SP95,NANCY,54000,54,44
54000014,1.8897272725755758,9,9,1.1338363635453454,LOW,PROVISIONAL,SP95,NANCY,54000,54,44
5400002,-1.4452222374243222,17,17,-1.0682077407049337,MEDIUM,NORMAL,SP95,VEYNES,05400,05,93
5400004,-0.09522223742431546,18,18,-0.0714166780682366,HIGH,NORMAL,SP95,VEYNES,05400,05,93
54134002,5.9238272051415715,17,17,4.378480977713336,MEDIUM,NORMAL,SP95,Ceintrey,54134,54,44
54150001,17.152533681365,9,9,10.291520208819001,LOW,PROVISIONAL,SP95,BRIEY,54150,54,44
54150002,-0.21555011242655864,20,20,-0.1658077787896605,HIGH,NORMAL,SP95,BRIEY,54150,54,44
54150004,-5.047466318634996,7,7,-2.717866479264998,LOW,PROVISIONAL,SP95,Lantéfontaine,54150,54,44
54170001,15.616366093781867,17,17,11.542531460621381,MEDIUM,HIGH,SP95,COLOMBEY-LES-BELLES,54170,54,44
54200014,5.174928468173533,2,2,1.2937321170433833,INSUFFICIENT,PROVISIONAL,SP95,DOMMARTIN LES TOUL,54200,54,44
54204001,0.12382720514158863,20,20,0.09525169626276048,HIGH,NORMAL,SP95,DOMMARTIN-LèS-TOUL,54200,54,44
54230002,-2.1613739904563576,20,20,-1.6625953772741213,HIGH,NORMAL,SP95,NEUVES-MAISONS,54230,54,44
54290001,1.3663660937818698,20,20,1.051050841370669,HIGH,NORMAL,SP95,BAYON,54290,54,44
54300001,-3.6113739904563755,9,9,-2.1668243942738252,LOW,PROVISIONAL,SP95,Moncel-lès-Lunéville,54300,54,44
54300008,2.2238272051415797,19,19,1.6901086759076005,HIGH,NORMAL,SP95,LUNEVILLE,54300,54,44
54320001,-0.6826675142329304,20,20,-0.5251288571022541,HIGH,NORMAL,SP95,Maxéville,54320,54,44
54330001,-1.1761727948584013,19,19,-0.893891324092385,HIGH,NORMAL,SP95,VÉZELISE,54330,54,44
54360002,8.634933083566041,20,20,6.642256218127724,HIGH,ELEVATED,SP95,DAMELEVIèRES,54360,54,44
54360003,-1.247466318634981,20,20,-0.9595894758730623,HIGH,NORMAL,SP95,Blainville-sur-l'Eau,54360,54,44
54380008,-0.6761727948584122,12,12,-0.4507818632389415,MEDIUM,NORMAL,SP95,DIEULOUARD,54380,54,44
54380011,-0.2836339062181372,3,3,-0.09454463540604574,INSUFFICIENT,PROVISIONAL,SP95,Dieulouard,54380,54,44
54450002,8.416366093781857,20,20,6.474127764447583,HIGH,ELEVATED,SP95,AVRICOURT,54450,54,44
54450004,9.916366093781862,18,18,7.437274570336396,HIGH,ELEVATED,SP95,OGEVILLER,54450,54,44
54460001,-5.647503948337249,2,2,-1.4118759870843123,INSUFFICIENT,PROVISIONAL,SP95,LIVERDUN,54460,54,44
54470002,-1.5836339062181273,17,17,-1.1705120176394854,MEDIUM,NORMAL,SP95,THIAUCOURT,54470,54,44
54470003,-9.776172794858422,4,4,-3.910469117943369,INSUFFICIENT,PROVISIONAL,SP95,Limey-Remenauville,54470,54,44
54480001,3.516366093781844,20,20,2.7048969952168034,HIGH,NORMAL,SP95,CIREY-SUR-VEZOUZE,54480,54,44
54500005,1.5897272725755867,20,20,1.2228671327504512,HIGH,NORMAL,SP95,VANDOEUVRE-LèS-NANCY,54500,54,44
54510001,-23.111373990456382,1,1,-3.301624855779483,INSUFFICIENT,PROVISIONAL,SP95,TOMBLAINE,54510,54,44
54520001,1.48862600954364,5,5,0.6766481861562,INSUFFICIENT,PROVISIONAL,SP95,LAXOU,54520,54,44
