factor,level,effect_cent_l,train_count,fuel,national_median_spread_cent_l
code_departement,61,-0.5056073037240193,45,GAZOLE,13.868521476151852
code_departement,62,-1.0062030876550472,174,GAZOLE,13.868521476151852
code_departement,63,0.11667081839236174,86,GAZOLE,13.868521476151852
code_departement,64,-0.41052744571754957,79,GAZOLE,13.868521476151852
code_departement,65,-0.8121084458601079,34,GAZOLE,13.868521476151852
code_departement,66,0.06179782986595127,55,GAZOLE,13.868521476151852
code_departement,67,3.788071859525781,88,GAZOLE,13.868521476151852
code_departement,68,3.523687630209357,73,GAZOLE,13.868521476151852
code_departement,69,1.4442823326210872,138,GAZOLE,13.868521476151852
code_departement,70,0.44548132115918987,40,GAZOLE,13.868521476151852
code_departement,71,0.3542092076052778,111,GAZOLE,13.868521476151852
code_departement,72,0.38169171672176055,64,GAZOLE,13.868521476151852
code_departement,73,-0.0733267513870801,62,GAZOLE,13.868521476151852
code_departement,74,1.372748476533429,90,GAZOLE,13.868521476151852
code_departement,75,2.099994708814027,12,GAZOLE,13.868521476151852
code_departement,76,-0.6248833634827498,125,GAZOLE,13.868521476151852
code_departement,77,0.13606019899071115,113,GAZOLE,13.868521476151852
code_departement,78,-0.6294659314180899,77,GAZOLE,13.868521476151852
code_departement,79,-1.1809181049841309,50,GAZOLE,13.868521476151852
code_departement,80,0.22598337831719284,79,GAZOLE,13.868521476151852
code_departement,81,-0.2798624871053557,53,GAZOLE,13.868521476151852
code_departement,82,0.6166806261604063,46,GAZOLE,13.868521476151852
code_departement,83,-0.03345821446596811,130,GAZOLE,13.868521476151852
code_departement,84,0.49494442493999585,87,GAZOLE,13.868521476151852
code_departement,85,-0.7294061663445283,91,GAZOLE,13.868521476151852
code_departement,86,-0.6275956345739961,51,GAZOLE,13.868521476151852
code_departement,87,-0.32282649065467534,71,GAZOLE,13.868521476151852
code_departement,88,0.4862749742382314,54,GAZOLE,13.868521476151852
code_departement,89,0.2033008072075911,67,GAZOLE,13.868521476151852
code_departement,90,1.825384318082032,12,GAZOLE,13.868521476151852
code_departement,91,-1.5525563785557235,82,GAZOLE,13.868521476151852
code_departement,92,4.040187761240358,26,GAZOLE,13.868521476151852
code_departement,93,1.0802292421996769,42,GAZOLE,13.868521476151852
